BRook1,BKnight1,BBishop1,BKing,BQueen1,BBishop2,BKnight2,BRook2,BPawn1,BPawn2,BPawn3,BPawn4,BPawn5,BPawn6,BPawn7,BPawn8,WPawn1,WPawn2,WPawn3,WPawn4,WPawn5,WPawn6,WPawn7,WPawn8,WRook1,WKnight1,WBishop1,WKing,WQueen1,WBishop2,WKnight2,WRook2,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,move_range_num
64.0,0.0,39.0,43.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,49.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2751
64.0,0.0,39.0,43.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,49.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,45.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
64.0,0.0,39.0,50.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,49.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,45.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694
64.0,0.0,39.0,50.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,49.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,45.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
64.0,0.0,39.0,59.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,49.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,45.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144
64.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,49.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,45.0,0.0,0.0,7.0,0.0,0.0,0.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242
64.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,55.0,51.0,49.0,48.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,45.0,0.0,0.0,7.0,0.0,0.0,0.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512
64.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,51.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,55.0,0.0,0.0,7.0,0.0,0.0,0.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447
60.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,51.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,55.0,0.0,0.0,7.0,0.0,0.0,0.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4028
60.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,51.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,55.0,0.0,0.0,7.0,0.0,0.0,0.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823
4.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,51.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,55.0,0.0,0.0,7.0,0.0,0.0,0.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720
4.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,51.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,55.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280
5.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,51.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,15.0,14.0,10.0,9.0,0.0,0.0,55.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
